image,width,height,used_by_pages
_3dclip0001.png,978,589,1
_3dclip0002.png,677,507,1
_3dclip0003_zoom50.png,442,321,1
_3dclip0004.png,758,482,1
_3dclip0005.png,770,307,1
_3dclip0006.png,770,307,1
_3dclip0007.png,445,154,1
_3dclip0008_zoom50.png,486,268,1
_3dclip0009.png,586,82,1
_3dclip0012.png,462,297,1
_3dclip0013.png,452,205,1
_3dclip0014.png,657,286,1
_3dclip0016.png,506,98,1
_3dclip0017.png,751,598,1
_3dclip0018.png,794,599,1
_3dclip0019.png,794,599,1
_3dclip0020.png,794,599,1
_3dclip0025_zoom80.png,692,355,1
_3dclip0026.png,666,386,1
_3dclip0027_zoom80.png,693,363,1
_3dclip0028.png,818,165,1
_aidclip0372.png,799,530,1
_aidclip0373.png,425,261,1
_aidclip0740.png,946,618,1
_aidclip0745.png,814,550,1
_aidclip0746.png,404,253,1
_aidclip0747.png,404,253,1
_aidclip0748.png,1061,652,1
_aidclip0749.png,666,413,1
_aidclip0750.png,666,413,1
_aidclip0751.png,666,413,1
_aidclip0752.png,1009,650,1
_awpclip0001.png,493,200,1
_awpclip0003.png,868,651,1
_awpclip0004.png,850,326,1
_awpclip0005.png,847,431,1
_awpclip0006.png,868,452,1
_awpclip0007.png,712,520,1
_awpclip0008.png,661,36,1
_awpclip0009.png,477,59,1
_awpclip0010.png,203,134,1
_awpclip0011.png,868,451,1
_awpclip0012.png,861,495,1
_awpclip0013.png,422,322,1
_awpclip0014.png,429,327,1
_awpclip0015.png,550,319,1
_awpclip0016.png,547,142,1
_awpclip0017.png,248,541,1
_awpclip0018.png,248,541,1
_awpclip0019.png,248,541,1
_awpclip0020_zoom75.png,1112,755,1
_awpclip0021.png,1378,394,1
_awpclip0022.png,524,560,1
_awpclip0024.png,375,279,1
_awpclip0025.png,445,107,1
_awpclip0026.png,715,414,1
_awpclip0027.png,704,415,1
_awpclip0028.png,698,430,1
_awpclip0029.png,739,406,1
_awpclip0030_zoom78.png,1166,724,1
_awpclip0031.png,651,371,1
_awpclip0032.png,196,150,1
_awpclip0034.png,431,267,1
_awpclip0035.png,541,423,1
_awpclip0036.png,541,423,1
_awpclip0037.png,541,423,1
_awpclip0038.png,541,423,1
_awpclip0039.png,1296,820,1
_awpclip0040.png,297,187,1
_awpclip0041.png,320,381,1
_awpclip0042.png,712,408,1
_awpclip0043.png,540,523,1
_awpclip0044.png,207,186,1
_awpclip0045.png,915,330,1
_awpclip0046.png,976,848,1
_awpclip0047.png,472,371,1
_awpclip0048.png,474,358,1
_awpclip0049.png,944,347,1
_awpclip0050.png,867,163,1
_awpclip0051.png,1258,345,1
_awpclip0052.png,248,541,1
_awpclip0053.png,1100,672,1
_awpclip0054.png,1425,799,1
_awpclip0055.png,72,26,1
_awpclip0056.png,869,200,1
_awpclip0057.png,867,201,1
_awpclip0058.png,749,516,1
_awpclip0059.png,309,420,1
_awpclip0060.png,309,420,1
_awpclip0061.png,289,309,1
_awpclip0062.png,868,651,1
_awpclip0063.png,976,848,1
_awpclip0064.png,976,848,1
_awpclip0065.png,418,215,1
_awpclip0066.png,296,59,1
_awpclip0067.png,1056,415,1
_awpclip0068.png,1053,454,1
_awpclip0069.png,227,723,1
_awpclip0070.png,331,590,1
_awpclip0071_zoom50.png,601,493,1
_blaclip0001_zoom75.png,941,432,1
_blaclip0002.png,666,347,1
_blaclip0003.png,666,346,1
_blaclip0004.png,666,347,1
_blaclip0005.png,666,347,1
_blaclip0006.png,792,450,1
_blaclip0007.png,666,347,1
_blaclip0008.png,666,347,1
_blaclip0009.png,755,308,1
_blaclip0010.png,851,476,1
_blaclip0011.png,945,645,1
_blaclip0012.png,626,417,1
_blaclip0013.png,713,635,1
_blaclip0014.png,633,505,1
_blaclip0015.png,743,505,1
_blaclip0016.png,726,561,1
_blaclip0017.png,828,562,1
_blaclip0018.png,633,505,1
_bpclip0001.png,337,361,1
_bpclip0002.png,487,531,1
_bpclip0003.png,475,450,1
_bpclip0004.png,534,238,1
_bpclip0005.png,534,238,1
_bpclip0006.png,861,456,1
_bpclip0007.png,479,272,1
_bpclip0008.png,618,443,1
_bpclip0009.png,405,491,1
_bpclip0010.png,422,224,1
_bpclip0011.png,733,79,1
_bpclip0012.png,727,423,1
_bpclip0013.png,727,423,1
_bpclip0014.png,705,181,1
_bpclip0015.png,147,55,1
_bpclip0016.png,170,141,1
_bpclip0017.png,661,293,1
_bpclip0018.png,681,213,1
_c2db_clip0003.png,707,259,1
_c2db_clip0019_zoom50.png,649,376,1
_c2db_clip0020_zoom50.png,542,336,1
_c2db_clip0021_zoom50.png,466,336,1
_c2db_clip0022.png,707,248,1
_c2db_clip0023.png,936,232,1
_c2db_clip0024_zoom50.png,466,336,1
_c2db_clip0025_zoom50.png,425,336,1
_c2db_clip0026_zoom50.png,462,336,1
_c2db_clip0027.png,201,54,6
_c2db_clip0028.png,200,54,6
_c2db_clip0029.png,560,249,1
_c2db_clip0030.png,1639,302,1
_c2db_clip0032.png,371,190,6
_c2db_clip0033.png,371,190,6
_c2db_clip0034.png,371,190,6
_c2db_clip0036.png,1298,345,6
_c2db_clip0038.png,1006,294,1
_c2db_clip0039.png,975,219,1
_c2db_clip0040.png,1006,294,1
_c2db_clip0041.png,910,258,6
_c2db_clip0043.png,704,259,5
_c2db_clip0044_zoom50.png,480,336,1
_c2db_clip0046_zoom50.png,496,336,1
_c2db_clip0047_zoom50.png,649,376,1
_c2db_clip0048_zoom50.png,542,336,1
_c2db_clip0050_zoom50.png,466,336,1
_c2db_clip0051.png,707,248,1
_c2db_clip0052.png,936,232,1
_c2db_clip0053_zoom50.png,466,336,1
_c2db_clip0054.png,560,249,1
_c2db_clip0055_zoom50.png,425,336,1
_c2db_clip0056_zoom50.png,462,336,1
_c2db_clip0057.png,1639,302,1
_c2db_clip0058.png,1006,294,1
_c2db_clip0059.png,1006,294,1
_c2db_clip0060.png,975,219,1
_c2db_clip0061_zoom50.png,512,272,1
_c2db_clip0062_zoom50.png,480,336,1
_c2db_clip0063_zoom50.png,496,336,1
_c2db_clip0064_zoom50.png,649,376,1
_c2db_clip0065_zoom50.png,542,336,1
_c2db_clip0066_zoom50.png,466,336,1
_c2db_clip0067.png,707,248,1
_c2db_clip0068.png,936,213,1
_c2db_clip0069_zoom50.png,466,336,1
_c2db_clip0070.png,560,249,1
_c2db_clip0071_zoom50.png,425,336,1
_c2db_clip0072_zoom50.png,425,336,1
_c2db_clip0073.png,1639,302,1
_c2db_clip0074.png,1006,294,1
_c2db_clip0075.png,1006,294,1
_c2db_clip0076.png,975,219,1
_c2db_clip0077_zoom50.png,512,272,1
_c2db_clip0078_zoom50.png,480,336,1
_c2db_clip0079_zoom50.png,496,336,1
_c2db_clip0081_zoom50.png,644,406,1
_c2db_clip0082.png,1562,616,1
_c2db_clip0083.png,829,600,1
_c2db_clip0084.png,974,245,1
_c2db_clip0085.png,975,338,1
_c2db_clip0086.png,560,249,1
_c2db_clip0088_zoom50.png,674,375,1
_c2db_clip0089_zoom50.png,518,335,1
_c2db_clip0090_zoom50.png,486,335,1
_c2db_clip0091_zoom50.png,486,335,1
_c2db_clip0092_zoom50.png,486,335,1
_c2db_clip0093_zoom50.png,486,335,1
_c2db_clip0094.png,1639,307,1
_c2db_clip0095.png,1006,294,1
_c2db_clip0096.png,1006,294,1
_c2db_clip0097.png,955,252,1
_c2db_clip0098_zoom50.png,511,335,1
_c2db_clip0099_zoom50.png,482,335,1
_c2db_clip0100_zoom50.png,496,335,1
_c2db_clip0101_zoom50.png,645,359,1
_c2db_clip0102.png,626,438,1
_c2db_clip0103.png,551,232,1
_c2db_clip0104.png,549,281,1
_c2db_clip0105.png,621,94,1
_c2db_clip0106.png,393,143,1
_c2db_clip0107.png,618,88,1
_c2db_clip0108.png,1002,224,2
_c2db_clip0109_zoom50.png,520,336,1
_c2db_clip0110_zoom50.png,466,336,1
_c2db_clip0111.png,707,248,1
_c2db_clip0112.png,936,232,1
_c2db_clip0113_zoom50.png,466,336,1
_c2db_clip0114.png,560,249,1
_c2db_clip0115_zoom50.png,425,336,1
_c2db_clip0116_zoom50.png,425,336,1
_c2db_clip0117.png,1639,302,1
_c2db_clip0118.png,1006,294,1
_c2db_clip0119.png,1006,294,1
_c2db_clip0120.png,975,219,1
_c2db_clip0121_zoom50.png,512,272,1
_c2db_clip0122_zoom50.png,480,336,1
_c2db_clip0123_zoom50.png,496,336,1
_c2db_clip0124.png,477,459,1
_c2db_clip0125.png,332,209,1
_c2db_clip0126.png,458,322,1
_c2db_clip0127.png,458,322,1
_c2db_clip0128.png,458,322,1
_c2db_clip0129.png,458,322,1
_c2db_clip0130.png,458,322,1
_c2db_clip0131.png,1344,757,1
_c2db_clip0132.png,1256,488,1
_c2db_clip0134.png,1083,671,1
_c2db_clip0135.png,972,670,1
_c2db_clip0136.png,707,248,1
