file,title,bytes,text_chars,n_imgs_total,n_imgs_content,content_imgs
3d-viewer.htm,3D Viewer,6152,112,8,0,
3d_petrophysics.htm,3D Petrophysics,123268,30277,82,60,_mwclip00175.png;_mwclip00217.png;_mwclip00126.png;_mwclip00127.png;_mwclip00128.png;_mwclip00129.png;_mwclip00131.png;_mwclip00132.png;_mwclip00130.png;_mwclip00228.png;_mwclip00134.png;_mwclip00135.png;_mwclip00136.png;_mwclip00137.png;_mwclip00138.png;_mwclip00139.png;_mwclip00140.png;_mwclip00141.png;_mwclip00282.png;_mwclip00161.png;_mwclip00162.png;_mwclip00163.png;_mwclip00283.png;_mwclip00210.png;_mwclip00211.png;_mwclip00216.png;_mwclip00212.png;_mwclip00213.png;_mwclip00214.png;_mwclip00215.png;_mwclip00277.png;ipcollapsearrow.png;_mwclip00142.png;_mwclip00145.png;_mwclip00146.png;_mwclip00147.png;_mwclip00148.png;_mwclip00149.png;_mwclip00150.png;_mwclip00151.png;_mwclip00153.png;_mwclip00154.png;_mwclip00155.png;_mwclip00156.png;_mwclip00157.png;_mwclip00218.png;_mwclip00158.png;_mwclip00159.png;_mwclip00229.png;_mwclip00230.png;_mwclip00278.png;_mwclip00279.png;_mwclip00164.png;_mwclip00165.png;_mwclip00166.png;_mwclip00170.png;_mwclip00171.png;_mwclip00172.png;_mwclip00173.png;_mwclip00174.png
3d_viewer.htm,3D Image Viewer,68547,11158,43,22,_iaclip00396.png;_iaclip00406.png;_iaclip00397_zoom90.png;_iaclip00404.png;_iaclip00399.png;_iaclip00400.png;_iaclip00401.png;_iaclip00402.png;_iaclip00403.png;_iaclip00404.png;_iaclip00405.png;_iaclip00407_zoom90.png;_iaclip00408.png;_iaclip00409.png;_iaclip00410.png;_iaclip00411.png;_iaclip00412.png;_iaclip00426.png;_iaclip00427.png;_iaclip00428.png;_iaclip00429.png;_iaclip00414.png
3dparview.htm,3D Parameter Viewer,40247,9526,37,21,_3dclip0002.png;_3dclip0001.png;_3dclip0003_zoom50.png;_3dclip0004.png;_3dclip0005.png;_3dclip0006.png;_3dclip0007.png;_3dclip0009.png;_3dclip0008_zoom50.png;_3dclip0012.png;_3dclip0013.png;_3dclip0014.png;_3dclip0016.png;_3dclip0017.png;_3dclip0018.png;_3dclip0019.png;_3dclip0020.png;_3dclip0026.png;_3dclip0027_zoom80.png;_3dclip0028.png;_3dclip0025_zoom80.png
abbreviations_and_definitions.htm,Abbreviations and Definitions,21498,2627,8,0,
aboutipdatabase.htm,About the IP Database,31061,8677,15,2,_diclip0002.png;_diclip0003.png
acoustic_to_pressure.htm,Acoustic to Pressure,49405,15316,32,18,ppfg_073.png;ppfg_074.png;ppfg_075.png;ppfg_076.png;ppfg_077.png;ppfg_036.png;ppfg_078.png;ppfg_079.png;ppfg_080.png;ppfg_081.png;ppfg_082.png;ppfg_083.png;ppfg_084.png;ppfg_085.png;ppfg_086.png;ppfg_087.png;ppfg_088.png;ppfg_089.png
acoustic_waveform_processing.htm,Acoustic Waveform Processing,240589,82888,103,68,_awpclip0004.png;_awpclip0005.png;_awpclip0003.png;_awpclip0066.png;_awpclip0006.png;_awpclip0007.png;_awpclip0008.png;_awpclip0009.png;_awpclip0070.png;_awpclip0010.png;_awpclip0011.png;_awpclip0020_zoom75.png;_awpclip0026.png;_awpclip0028.png;_awpclip0027.png;_awpclip0029.png;_awpclip0030_zoom78.png;_awpclip0032.png;_awpclip0031.png;_awpclip0012.png;_awpclip0013.png;_awpclip0014.png;_awpclip0015.png;_awpclip0016.png;_awpclip0071_zoom50.png;_awpclip0017.png;_awpclip0018.png;_awpclip0019.png;_awpclip0052.png;_awpclip0021.png;_awpclip0065.png;_awpclip0022.png;_awpclip0067.png;_awpclip0068.png;_awpclip0069.png;_awpclip0040.png;_awpclip0041.png;_awpclip0042.png;_awpclip0043.png;_awpclip0062.png;_awpclip0044.png;_awpclip0055.png;_awpclip0045.png;_awpclip0046.png;_awpclip0047.png;_awpclip0048.png;_awpclip0049.png;_awpclip0063.png;_awpclip0064.png;_awpclip0050.png;_awpclip0051.png;_awpclip0053.png;_awpclip0054.png;_awpclip0056.png;_awpclip0058.png;_awpclip0059.png;_awpclip0060.png;_awpclip0061.png;_awpclip0057.png;_awpclip0024.png;_awpclip0025.png;_awpclip0001.png;_awpclip0034.png;_awpclip0035.png;_awpclip0036.png;_awpclip0037.png;_awpclip0038.png;_awpclip0039.png
analysis-sticks.htm,Analysis Sticks,6198,124,8,0,
anisotropic-elastic.htm,Anisotropic Elastic,101722,20125,118,102,rmnew_clip0018.png;rmnew_clip0019_zoom65.png;rmnew_clip0204_zoom65.png;rmnew_clip0021_zoom65.png;rmnew_clip0205.png;rmnew_clip0206_zoom65.png;rmnew_clip0207_zoom65.png;rmnew_clip0025.png;rmnew_clip0208.png;rmnew_clip0209.png;rmnew_clip0031.png;rmnew_clip0210.png;rmnew_clip0211.png;rmnew_clip0212.png;rmnew_clip0213.png;rmnew_clip0214_zoom65.png;rmnew_clip0215.png;rmnew_clip0216_zoom65.png;rmnew_clip0217.png;rmnew_clip0216_zoom65.png;rmnew_clip0218_zoom65.png;rmnew_clip0221_zoom65.png;rmnew_clip0219_zoom65.png;rmnew_clip0220.png;embim405.png;embim406.png;embim407.png;embim408.png;embim409.png;embim410.png;embim411.png;embim412.png;embim413.png;embim414.png;embim415.png;embim416.png;embim417.png;embim418.png;embim419.png;embim420.png;embim421.png;embim422.png;embim423.png;embim424.png;embim425.png;embim426.png;embim427.png;embim428.png;embim429.png;embim430.png;embim431.png;embim432.png;embim433.png;embim434.png;embim435.png;embim436.png;embim437.png;embim438.png;embim439.png;embim440.png;embim441.png;embim442.png;embim443.png;embim444.png;embim445.png;embim446.png;embim447.png;embim448.png;embim449.png;embim450.png;embim451.png;embim452.png;embim453.png;embim454.png;embim455.png;embim456.png;embim457.png;embim458.png;embim459.png;embim460.png;embim461.png;embim462.png;embim463.png;embim464.png;embim465.png;embim466.png;embim467.png;embim468.png;embim469.png;embim470.png;embim471.png;embim472.png;embim473.png;embim474.png;embim475.png;embim476.png;embim477.png;embim478.png;embim479.png;embim480.png;embim481.png;embim482.png
arraydatacurves.htm,Curves and Array Image Data,30497,7607,23,11,_aidclip0745.png;_aidclip0746.png;_aidclip0747.png;_aidclip0372.png;_aidclip0373.png;_aidclip0752.png;_aidclip0748.png;_aidclip0750.png;_aidclip0749.png;_aidclip0751.png;_aidclip0740.png
autoplot.htm,Autoplot,21599,7374,19,11,_plclip00196.png;_plclip00197.png;_plclip00053.png;_plclip00054.png;_plclip00198.png;_plclip00199.png;_plclip00200.png;_plclip00201.png;_plclip00204.png;_plclip00063.png;_plclip00054.png
autoplot2.htm,Autoplot,8126,535,8,0,
basicloganalysis.htm,Basic Log Analysis,102198,22240,60,27,_blaclip0001_zoom75.png;_blaclip0002.png;_blaclip0003.png;_blaclip0004.png;_blaclip0005.png;_blaclip0006.png;_blaclip0007.png;_blaclip0008.png;_blaclip0009.png;_blaclip0010.png;_blaclip0011.png;_blaclip0012.png;_blaclip0013.png;_blaclip0014.png;_blaclip0015.png;_blaclip0016.png;_blaclip0017.png;_blaclip0018.png;embim11.png;embim12.png;embim13.png;embim14.png;embim15.png;embim16.png;embim17.png;embim18.png;embim19.png
